run_id,seed,lead_s,anchor,model_variant,test_match,train_lead_s,test_lead_s,n_common,top1,selected_epoch
a95b7a72bb,2,0.2,emitted_sync_frame,cross_offset,J03WMX,0.2,0.4,721,0.5617198335644937,30
a95b7a72bb,2,0.2,emitted_sync_frame,cross_offset,J03WN1,0.2,0.4,454,0.5088105726872246,30
a95b7a72bb,2,0.2,emitted_sync_frame,cross_offset,J03WMX,0.2,0.8,721,0.44937586685159503,30
a95b7a72bb,2,0.2,emitted_sync_frame,cross_offset,J03WN1,0.2,0.8,454,0.40748898678414097,30
a95b7a72bb,2,0.2,emitted_sync_frame,cross_offset,J03WMX,0.2,1.2,721,0.4160887656033287,30
a95b7a72bb,2,0.2,emitted_sync_frame,cross_offset,J03WN1,0.2,1.2,454,0.4008810572687225,30
a95b7a72bb,0,0.4,emitted_sync_frame,cross_offset,J03WMX,0.4,0.0,721,0.5270457697642164,26
a95b7a72bb,0,0.4,emitted_sync_frame,cross_offset,J03WN1,0.4,0.0,454,0.47577092511013214,26
a95b7a72bb,0,0.4,emitted_sync_frame,cross_offset,J03WMX,0.4,0.2,721,0.6796116504854369,26
a95b7a72bb,0,0.4,emitted_sync_frame,cross_offset,J03WN1,0.4,0.2,454,0.6035242290748899,26
a95b7a72bb,0,0.4,emitted_sync_frame,cross_offset,J03WMX,0.4,0.4,721,0.6851595006934813,26
a95b7a72bb,0,0.4,emitted_sync_frame,cross_offset,J03WN1,0.4,0.4,454,0.6057268722466961,26
a95b7a72bb,0,0.4,emitted_sync_frame,cross_offset,J03WMX,0.4,0.8,721,0.565880721220527,26
a95b7a72bb,0,0.4,emitted_sync_frame,cross_offset,J03WN1,0.4,0.8,454,0.5110132158590308,26
a95b7a72bb,0,0.4,emitted_sync_frame,cross_offset,J03WMX,0.4,1.2,721,0.47018030513176146,26
a95b7a72bb,0,0.4,emitted_sync_frame,cross_offset,J03WN1,0.4,1.2,454,0.42290748898678415,26
a95b7a72bb,1,0.4,emitted_sync_frame,cross_offset,J03WMX,0.4,0.0,721,0.4174757281553398,41
