run_id,seed,lead_s,anchor,model_variant,test_match,epoch,train_loss,train_top1,test_J03WMX_top1,test_J03WMX_loss,test_J03WN1_top1,test_J03WN1_loss,val_top1,val_loss
a95b7a72bb,0,0.4,emitted_sync_frame,canonical,,0,1.8194475421515777,0.4286905754795663,0.44736841320991516,1.5382000207901,0.4008810520172119,1.7385265827178955,0.4259541928768158,1.5997648239135742
a95b7a72bb,0,0.4,emitted_sync_frame,canonical,,1,1.588860889789559,0.48498748957464555,0.5138503909111023,1.4262921810150146,0.4581497609615326,1.6022515296936035,0.47328245639801025,1.48347806930542
a95b7a72bb,0,0.4,emitted_sync_frame,canonical,,2,1.4695907403669126,0.512510425354462,0.549861490726471,1.3426755666732788,0.5044052600860596,1.4934279918670654,0.494656503200531,1.3877925872802734
a95b7a72bb,0,0.4,emitted_sync_frame,canonical,,3,1.3913435941939556,0.5354462051709759,0.5401661992073059,1.3065087795257568,0.5110132098197937,1.4528872966766357,0.505343496799469,1.3470796346664429
a95b7a72bb,0,0.4,emitted_sync_frame,canonical,,4,1.3409647766603243,0.5512927439532944,0.5540165901184082,1.2463133335113525,0.5308369994163513,1.4049830436706543,0.5145038366317749,1.3017102479934692
a95b7a72bb,0,0.4,emitted_sync_frame,canonical,,5,1.2888088315799895,0.5642201834862385,0.5678670406341553,1.1931883096694946,0.5330396294593811,1.3649568557739258,0.5297709703445435,1.2623506784439087
a95b7a72bb,0,0.4,emitted_sync_frame,canonical,,6,1.2460025927740102,0.5788156797331109,0.5872576236724854,1.144480586051941,0.5440528392791748,1.3360856771469116,0.5358778834342957,1.2089695930480957
a95b7a72bb,0,0.4,emitted_sync_frame,canonical,,7,1.2035378864946915,0.5963302752293578,0.6149584054946899,1.111211895942688,0.541850209236145,1.3299812078475952,0.5740457773208618,1.1533913612365723
a95b7a72bb,0,0.4,emitted_sync_frame,canonical,,8,1.160838412980023,0.5950792326939116,0.619113564491272,1.092593789100647,0.5462554693222046,1.2794684171676636,0.580152690410614,1.1334422826766968
a95b7a72bb,0,0.4,emitted_sync_frame,canonical,,9,1.1336699268835797,0.6088407005838199,0.6274238228797913,1.0707519054412842,0.5572686791419983,1.241018533706665,0.5969465374946594,1.1101787090301514
a95b7a72bb,0,0.4,emitted_sync_frame,canonical,,10,1.1064481459825213,0.6084236864053377,0.6177285313606262,1.0618526935577393,0.5352422595024109,1.2580492496490479,0.5938931107521057,1.0805286169052124
