match,pipeline,n,ball_direction_probe,median_ball_speed,median_ball_to_passer
J03WMX,"ours, 0.4s lead",722,0.3033240997229917,2.6703004837036133,0.8186957836151123
J03WMX,"ours, at our sync frame",722,0.6177285318559557,7.150238752365112,1.0162312984466553
J03WMX,DataBallPy,721,0.7045769764216366,16.32674217224121,1.0196571350097656
J03WN1,"ours, 0.4s lead",454,0.21585903083700442,3.3280892372131348,1.0549583435058594
J03WN1,"ours, at our sync frame",455,0.5516483516483517,6.454476356506348,1.0263488292694092
J03WN1,DataBallPy,454,0.6409691629955947,14.526909828186035,0.9732672572135925
J03WPY,"ours, 0.4s lead",659,0.2943854324734446,2.696636438369751,0.9020058512687683
J03WPY,"ours, at our sync frame",659,0.6388467374810318,8.295788764953613,1.2565219402313232
J03WPY,DataBallPy,658,0.709726443768997,15.552319526672363,1.0924977660179138
J03WOH,"ours, 0.4s lead",503,0.28429423459244535,2.9513139724731445,0.9714236259460449
J03WOH,"ours, at our sync frame",503,0.6222664015904572,8.536049842834473,1.3111505508422852
J03WOH,DataBallPy,503,0.7554671968190855,15.566426277160645,1.046231746673584
J03WQQ,"ours, 0.4s lead",670,0.2626865671641791,2.837392568588257,0.8403517007827759
J03WQQ,"ours, at our sync frame",670,0.6223880597014926,7.766346454620361,1.1139429807662964
J03WQQ,DataBallPy,668,0.7260479041916168,15.486889362335205,1.0616965293884277
J03WOY,"ours, 0.4s lead",566,0.26855123674911663,2.9370365142822266,0.9918118715286255
J03WOY,"ours, at our sync frame",566,0.6113074204946997,8.000374794006348,1.1725884675979614
J03WOY,DataBallPy,563,0.7442273534635879,14.328731536865234,1.053091049194336
J03WR9,"ours, 0.4s lead",655,0.22595419847328244,2.6206393241882324,0.8840838670730591
J03WR9,"ours, at our sync frame",655,0.5893129770992367,8.090930938720703,1.2224661111831665
J03WR9,DataBallPy,650,0.676923076923077,14.808144569396973,1.0603771805763245
