run_id,seed,lead_s,anchor,model_variant,test_match,setting,kind,components,n,top1,top3,selected_epoch,epochs_run,n_fit_samples,pretrained_encoder_loaded,mirror_train,tta,space,edge,pretrain,pertype,n_fit_matches,fit_matches
a95b7a72bb,0,0.4,emitted_sync_frame,plain,J03WN1,plain,reference,,454,0.46255506607929514,0.7995594713656388,57,60,1162,False,0,0,0,0,0,0,2,J03WPY+J03WOH
a95b7a72bb,1,0.4,emitted_sync_frame,plain,J03WMX,plain,reference,,722,0.5249307479224377,0.871191135734072,53,60,1162,False,0,0,0,0,0,0,2,J03WPY+J03WOH
a95b7a72bb,1,0.4,emitted_sync_frame,plain,J03WN1,plain,reference,,454,0.4801762114537445,0.8171806167400881,53,60,1162,False,0,0,0,0,0,0,2,J03WPY+J03WOH
a95b7a72bb,2,0.4,emitted_sync_frame,plain,J03WMX,plain,reference,,722,0.518005540166205,0.871191135734072,55,60,1162,False,0,0,0,0,0,0,2,J03WPY+J03WOH
a95b7a72bb,2,0.4,emitted_sync_frame,plain,J03WN1,plain,reference,,454,0.4889867841409692,0.8215859030837004,55,60,1162,False,0,0,0,0,0,0,2,J03WPY+J03WOH
a95b7a72bb,0,0.4,emitted_sync_frame,+ space,J03WMX,+ space,individual,space,722,0.5207756232686981,0.8282548476454293,14,23,1162,False,0,0,1,0,0,0,2,J03WPY+J03WOH
a95b7a72bb,0,0.4,emitted_sync_frame,+ space,J03WN1,+ space,individual,space,454,0.4647577092511013,0.7577092511013216,14,23,1162,False,0,0,1,0,0,0,2,J03WPY+J03WOH
a95b7a72bb,1,0.4,emitted_sync_frame,+ space,J03WMX,+ space,individual,space,722,0.5858725761772853,0.8781163434903048,54,60,1162,False,0,0,1,0,0,0,2,J03WPY+J03WOH
a95b7a72bb,1,0.4,emitted_sync_frame,+ space,J03WN1,+ space,individual,space,454,0.5176211453744494,0.8127753303964758,54,60,1162,False,0,0,1,0,0,0,2,J03WPY+J03WOH
a95b7a72bb,2,0.4,emitted_sync_frame,+ space,J03WMX,+ space,individual,space,722,0.5761772853185596,0.8933518005540166,57,60,1162,False,0,0,1,0,0,0,2,J03WPY+J03WOH
a95b7a72bb,2,0.4,emitted_sync_frame,+ space,J03WN1,+ space,individual,space,454,0.513215859030837,0.8281938325991189,57,60,1162,False,0,0,1,0,0,0,2,J03WPY+J03WOH
a95b7a72bb,0,0.4,emitted_sync_frame,+ train mirror,J03WMX,+ train mirror,individual,mirror_train,722,0.5401662049861495,0.853185595567867,38,47,1162,False,1,0,0,0,0,0,2,J03WPY+J03WOH
a95b7a72bb,0,0.4,emitted_sync_frame,+ train mirror,J03WN1,+ train mirror,individual,mirror_train,454,0.5022026431718062,0.8171806167400881,38,47,1162,False,1,0,0,0,0,0,2,J03WPY+J03WOH
a95b7a72bb,1,0.4,emitted_sync_frame,+ train mirror,J03WMX,+ train mirror,individual,mirror_train,722,0.5789473684210527,0.8767313019390581,59,60,1162,False,1,0,0,0,0,0,2,J03WPY+J03WOH
a95b7a72bb,1,0.4,emitted_sync_frame,+ train mirror,J03WN1,+ train mirror,individual,mirror_train,454,0.5330396475770925,0.8458149779735683,59,60,1162,False,1,0,0,0,0,0,2,J03WPY+J03WOH
a95b7a72bb,2,0.4,emitted_sync_frame,+ train mirror,J03WMX,+ train mirror,individual,mirror_train,722,0.5277008310249307,0.8670360110803325,37,46,1162,False,1,0,0,0,0,0,2,J03WPY+J03WOH
a95b7a72bb,2,0.4,emitted_sync_frame,+ train mirror,J03WN1,+ train mirror,individual,mirror_train,454,0.46916299559471364,0.8325991189427313,37,46,1162,False,1,0,0,0,0,0,2,J03WPY+J03WOH
a95b7a72bb,0,0.4,emitted_sync_frame,+ pretrain,J03WMX,+ pretrain,individual,pretrain,722,0.5166204986149584,0.8670360110803325,53,60,1162,True,0,0,0,0,1,0,2,J03WPY+J03WOH
a95b7a72bb,0,0.4,emitted_sync_frame,+ pretrain,J03WN1,+ pretrain,individual,pretrain,454,0.43612334801762115,0.8105726872246696,53,60,1162,True,0,0,0,0,1,0,2,J03WPY+J03WOH
a95b7a72bb,1,0.4,emitted_sync_frame,+ pretrain,J03WMX,+ pretrain,individual,pretrain,722,0.5096952908587258,0.853185595567867,47,56,1162,True,0,0,0,0,1,0,2,J03WPY+J03WOH
a95b7a72bb,1,0.4,emitted_sync_frame,+ pretrain,J03WN1,+ pretrain,individual,pretrain,454,0.44052863436123346,0.8061674008810573,47,56,1162,True,0,0,0,0,1,0,2,J03WPY+J03WOH
a95b7a72bb,2,0.4,emitted_sync_frame,+ pretrain,J03WMX,+ pretrain,individual,pretrain,722,0.4930747922437673,0.8559556786703602,47,56,1162,True,0,0,0,0,1,0,2,J03WPY+J03WOH
a95b7a72bb,2,0.4,emitted_sync_frame,+ pretrain,J03WN1,+ pretrain,individual,pretrain,454,0.43171806167400884,0.801762114537445,47,56,1162,True,0,0,0,0,1,0,2,J03WPY+J03WOH
a95b7a72bb,0,0.4,emitted_sync_frame,everything,J03WMX,everything,composite,mirror_train+tta+space+edge+pretrain+pertype,722,0.6426592797783933,0.8933518005540166,37,46,1162,True,1,1,1,1,1,1,2,J03WPY+J03WOH
a95b7a72bb,0,0.4,emitted_sync_frame,everything,J03WN1,everything,composite,mirror_train+tta+space+edge+pretrain+pertype,454,0.5704845814977973,0.8458149779735683,37,46,1162,True,1,1,1,1,1,1,2,J03WPY+J03WOH
a95b7a72bb,1,0.4,emitted_sync_frame,everything,J03WMX,everything,composite,mirror_train+tta+space+edge+pretrain+pertype,722,0.6440443213296398,0.8947368421052632,45,54,1162,True,1,1,1,1,1,1,2,J03WPY+J03WOH
a95b7a72bb,1,0.4,emitted_sync_frame,everything,J03WN1,everything,composite,mirror_train+tta+space+edge+pretrain+pertype,454,0.5704845814977973,0.8634361233480177,45,54,1162,True,1,1,1,1,1,1,2,J03WPY+J03WOH
a95b7a72bb,2,0.4,emitted_sync_frame,everything,J03WMX,everything,composite,mirror_train+tta+space+edge+pretrain+pertype,722,0.6343490304709142,0.8933518005540166,50,59,1162,True,1,1,1,1,1,1,2,J03WPY+J03WOH
