match_id,half,team_slot,eID,gameclock,timestamp,at_x,at_y,passer_slot,recipient_slot,pID,recipient,event_id,orientation,ev_x,ev_y,ball_to_passer,sync_frame,naive_frame,dist_before,dist_after,kick_proxy,proxy_peak_speed,proxy_ball_passer_m,proxy_offset_frames,proxy_offset_s
J03WMX,firstHalf,Home,Play_Pass,95.279,2023-05-27 15:31:47.509000+02:00,48.69,52.86,18,14,DFL-OBJ-002GKO,DFL-OBJ-J01BGM,,shift only,-3.8100000000000014,18.86,0.7823042886243184,2349,2381,16.36848801814022,1.7771043863543858,2348.0,16.180540084838867,0.2672257721424103,-1.0,-0.04
J03WMX,firstHalf,Home,Play_Cross,99.01,2023-05-27 15:31:51.240000+02:00,11.72,64.39,14,0,DFL-OBJ-J01BGM,DFL-OBJ-0027AX,,shift only,-40.78,30.39,0.8469356528095867,2455,2475,11.6000172413665,2.1824756585125997,2453.0,17.733997344970703,1.0937392711639404,-2.0,-0.08
J03WMX,firstHalf,Home,Play_Pass,131.399,2023-05-27 15:32:23.629000+02:00,37.87,6.32,2,0,DFL-OBJ-00012X,DFL-OBJ-0027AX,,shift only,-14.630000000000004,-27.68,0.6844705983459024,3258,3284,15.393258264578034,2.942685847996686,,16.14949607849121,,,
J03WMX,firstHalf,Home,Play_Pass,143.996,2023-05-27 15:32:36.226000+02:00,38.07,18.55,7,12,DFL-OBJ-0027B6,DFL-OBJ-002G4A,,shift only,-14.43,-15.45,2.149465049727493,3623,3599,6.33834363221181,6.9729262150118885,,5.835849285125732,,,
J03WMX,firstHalf,Home,Play_Pass,192.882,2023-05-27 15:33:25.112000+02:00,67.43,21.86,0,9,DFL-OBJ-0027AX,DFL-OBJ-0028BD,,shift only,14.930000000000009,-12.14,0.8653900854527982,4801,4822,7.39738467297734,1.240201596515658,4800.0,12.331356048583984,1.0541805028915405,-1.0,-0.04
J03WMX,firstHalf,Home,Play_Pass,227.083,2023-05-27 15:33:59.313000+02:00,85.66,22.06,2,16,DFL-OBJ-00012X,DFL-OBJ-J01D1W,,shift only,33.16,-11.94,2.376489006917557,5655,5677,6.733572603009491,1.9276929216034384,,14.594799041748047,5.529128551483154,,
J03WMX,firstHalf,Home,Play_Pass,248.492,2023-05-27 15:34:20.722000+02:00,54.9,16.95,0,4,DFL-OBJ-0027AX,DFL-OBJ-0002HE,,shift only,2.3999999999999986,-17.05,5.22168555162028,6222,6212,3.7926903380054617,3.7926903380054617,,18.74054527282715,5.280340671539307,,
J03WMX,firstHalf,Home,Play_Pass,254.098,2023-05-27 15:34:26.328000+02:00,92.18,25.78,4,16,DFL-OBJ-0002HE,DFL-OBJ-J01D1W,,shift only,39.68000000000001,-8.219999999999999,2.38159610345667,6305,6352,15.167455290852194,3.960214640647656,6301.0,10.142020225524902,1.4024516344070435,-4.0,-0.16
J03WMX,firstHalf,Home,Play_Pass,255.813,2023-05-27 15:34:28.043000+02:00,81.05,18.05,16,4,DFL-OBJ-J01D1W,DFL-OBJ-0002HE,,shift only,28.55,-15.95,0.5731491952362809,6370,6395,11.744943592882851,2.4520399670478485,6369.0,15.561108589172363,0.5054760575294495,-1.0,-0.04
J03WMX,firstHalf,Home,Play_Pass,258.286,2023-05-27 15:34:30.516000+02:00,96.18,35.0,4,7,DFL-OBJ-0002HE,DFL-OBJ-0027B6,,shift only,43.68000000000001,1.0,0.6754257916307309,6441,6457,8.224433111163352,1.613722404876379,6440.0,18.612770080566406,0.5873429179191589,-1.0,-0.04
J03WMX,firstHalf,Home,Play_Pass,260.547,2023-05-27 15:34:32.777000+02:00,81.96,59.37,7,5,DFL-OBJ-0027B6,DFL-OBJ-0002BO,,shift only,29.459999999999997,25.37,0.2267156809750927,6509,6513,2.573810404827832,3.778002117521906,6507.0,21.0677547454834,0.18303579092025757,-2.0,-0.08
J03WMX,firstHalf,Home,Play_Pass,337.44,2023-05-27 15:35:49.670000+02:00,61.72,21.16,12,9,DFL-OBJ-002G4A,DFL-OBJ-0028BD,,shift only,9.22,-12.84,2.3856236081997526,8422,8436,8.780261955089951,3.6726693289758634,,19.250350952148438,10.726553916931152,,
J03WMX,firstHalf,Home,Play_Pass,396.148,2023-05-27 15:36:48.378000+02:00,77.75,32.8,18,14,DFL-OBJ-002GKO,DFL-OBJ-J01BGM,,shift only,25.25,-1.2000000000000028,1.3433167906342869,9863,9903,8.478832466796359,3.9782031119589623,9843.0,9.872387886047363,0.14643774926662445,-20.0,-0.8
