run_id,seed,lead_s,anchor,model_variant,test_match,provider,match,probe,n,n_defined,accuracy,accuracy_where_defined,nearest_teammate,excess
a95b7a72bb,,0.2,emitted_sync_frame,cross_provider,,idsse,J03WN1,ball_direction,455,455,0.31648351648351647,0.31648351648351647,0.2923076923076923,0.024175824175824145
a95b7a72bb,,0.2,emitted_sync_frame,cross_provider,,idsse,J03WN1,passer_direction,455,455,0.35824175824175825,0.35824175824175825,0.2923076923076923,0.06593406593406592
a95b7a72bb,,0.2,emitted_sync_frame,cross_provider,,idsse,J03WN1,masella_min_abs,455,404,0.054945054945054944,0.06188118811881188,0.2923076923076923,-0.23736263736263738
a95b7a72bb,,0.2,emitted_sync_frame,cross_provider,,idsse,J03WN1,masella_max_abs,455,404,0.25934065934065936,0.29207920792079206,0.2923076923076923,-0.03296703296703296
a95b7a72bb,,0.4,emitted_sync_frame,cross_provider,,idsse,J03WN1,nearest_teammate,454,454,0.2775330396475771,0.2775330396475771,0.2775330396475771,0.0
a95b7a72bb,,0.4,emitted_sync_frame,cross_provider,,idsse,J03WN1,ball_direction,454,454,0.21585903083700442,0.21585903083700442,0.2775330396475771,-0.06167400881057267
a95b7a72bb,,0.4,emitted_sync_frame,cross_provider,,idsse,J03WN1,passer_direction,454,454,0.32819383259911894,0.32819383259911894,0.2775330396475771,0.050660792951541855
a95b7a72bb,,0.4,emitted_sync_frame,cross_provider,,idsse,J03WN1,masella_min_abs,454,411,0.05947136563876652,0.06569343065693431,0.2775330396475771,-0.21806167400881057
a95b7a72bb,,0.4,emitted_sync_frame,cross_provider,,idsse,J03WN1,masella_max_abs,454,411,0.2621145374449339,0.2895377128953771,0.2775330396475771,-0.01541850220264318
a95b7a72bb,,0.8,emitted_sync_frame,cross_provider,,idsse,J03WN1,nearest_teammate,454,454,0.2621145374449339,0.2621145374449339,0.2621145374449339,0.0
a95b7a72bb,,0.8,emitted_sync_frame,cross_provider,,idsse,J03WN1,ball_direction,454,454,0.23127753303964757,0.23127753303964757,0.2621145374449339,-0.030837004405286333
a95b7a72bb,,0.8,emitted_sync_frame,cross_provider,,idsse,J03WN1,passer_direction,454,454,0.2422907488986784,0.2422907488986784,0.2621145374449339,-0.019823788546255494
a95b7a72bb,,0.8,emitted_sync_frame,cross_provider,,idsse,J03WN1,masella_min_abs,454,421,0.05506607929515418,0.05938242280285035,0.2621145374449339,-0.20704845814977973
a95b7a72bb,,0.8,emitted_sync_frame,cross_provider,,idsse,J03WN1,masella_max_abs,454,421,0.2621145374449339,0.2826603325415677,0.2621145374449339,0.0
a95b7a72bb,,1.2,emitted_sync_frame,cross_provider,,idsse,J03WN1,nearest_teammate,454,454,0.2422907488986784,0.2422907488986784,0.2422907488986784,0.0
a95b7a72bb,,1.2,emitted_sync_frame,cross_provider,,idsse,J03WN1,ball_direction,454,454,0.23348017621145375,0.23348017621145375,0.2422907488986784,-0.008810572687224655
a95b7a72bb,,1.2,emitted_sync_frame,cross_provider,,idsse,J03WN1,passer_direction,454,454,0.21806167400881057,0.21806167400881057,0.2422907488986784,-0.024229074889867835
a95b7a72bb,,1.2,emitted_sync_frame,cross_provider,,idsse,J03WN1,masella_min_abs,454,425,0.07488986784140969,0.08,0.2422907488986784,-0.16740088105726872
a95b7a72bb,,1.2,emitted_sync_frame,cross_provider,,idsse,J03WN1,masella_max_abs,454,425,0.2092511013215859,0.2235294117647059,0.2422907488986784,-0.03303964757709252
a95b7a72bb,,0.0,emitted_sync_frame,cross_provider,,idsse,J03WPY,nearest_teammate,659,659,0.30045523520485584,0.30045523520485584,0.30045523520485584,0.0
a95b7a72bb,,0.0,emitted_sync_frame,cross_provider,,idsse,J03WPY,ball_direction,659,659,0.6160849772382397,0.6160849772382397,0.30045523520485584,0.3156297420333839
a95b7a72bb,,0.0,emitted_sync_frame,cross_provider,,idsse,J03WPY,passer_direction,659,659,0.40819423368740515,0.40819423368740515,0.30045523520485584,0.10773899848254931
a95b7a72bb,,0.0,emitted_sync_frame,cross_provider,,idsse,J03WPY,masella_min_abs,659,649,0.010622154779969651,0.01078582434514638,0.30045523520485584,-0.2898330804248862
a95b7a72bb,,0.0,emitted_sync_frame,cross_provider,,idsse,J03WPY,masella_max_abs,659,649,0.40667678300455234,0.41294298921417566,0.30045523520485584,0.1062215477996965
a95b7a72bb,,0.2,emitted_sync_frame,cross_provider,,idsse,J03WPY,nearest_teammate,659,659,0.30045523520485584,0.30045523520485584,0.30045523520485584,0.0
a95b7a72bb,,0.2,emitted_sync_frame,cross_provider,,idsse,J03WPY,ball_direction,659,659,0.4218512898330804,0.4218512898330804,0.30045523520485584,0.12139605462822456
a95b7a72bb,,0.2,emitted_sync_frame,cross_provider,,idsse,J03WPY,passer_direction,659,659,0.40212443095599393,0.40212443095599393,0.30045523520485584,0.10166919575113809
a95b7a72bb,,0.2,emitted_sync_frame,cross_provider,,idsse,J03WPY,masella_min_abs,659,631,0.07283763277693475,0.07606973058637084,0.30045523520485584,-0.2276176024279211
a95b7a72bb,,0.2,emitted_sync_frame,cross_provider,,idsse,J03WPY,masella_max_abs,659,631,0.2701062215477997,0.2820919175911252,0.30045523520485584,-0.030349013657056167
a95b7a72bb,,0.4,emitted_sync_frame,cross_provider,,idsse,J03WPY,nearest_teammate,659,659,0.2928679817905918,0.2928679817905918,0.2928679817905918,0.0
a95b7a72bb,,0.4,emitted_sync_frame,cross_provider,,idsse,J03WPY,ball_direction,659,659,0.2943854324734446,0.2943854324734446,0.2928679817905918,0.0015174506828528056
a95b7a72bb,,0.4,emitted_sync_frame,cross_provider,,idsse,J03WPY,passer_direction,659,659,0.38391502276176026,0.38391502276176026,0.2928679817905918,0.09104704097116845
a95b7a72bb,,0.4,emitted_sync_frame,cross_provider,,idsse,J03WPY,masella_min_abs,659,635,0.05918057663125948,0.06141732283464567,0.2928679817905918,-0.23368740515933234
a95b7a72bb,,0.4,emitted_sync_frame,cross_provider,,idsse,J03WPY,masella_max_abs,659,635,0.2928679817905918,0.30393700787401573,0.2928679817905918,0.0
a95b7a72bb,,0.8,emitted_sync_frame,cross_provider,,idsse,J03WPY,nearest_teammate,659,659,0.26251896813353565,0.26251896813353565,0.26251896813353565,0.0
a95b7a72bb,,0.8,emitted_sync_frame,cross_provider,,idsse,J03WPY,ball_direction,659,659,0.3201820940819423,0.3201820940819423,0.26251896813353565,0.05766312594840667
a95b7a72bb,,0.8,emitted_sync_frame,cross_provider,,idsse,J03WPY,passer_direction,659,659,0.3550834597875569,0.3550834597875569,0.26251896813353565,0.09256449165402125
a95b7a72bb,,0.8,emitted_sync_frame,cross_provider,,idsse,J03WPY,masella_min_abs,659,646,0.07435508345978756,0.07585139318885449,0.26251896813353565,-0.1881638846737481
