match_id,half,team_slot,eID,gameclock,timestamp,at_x,at_y,passer_slot,recipient_slot,pID,recipient,event_id,orientation,ev_x,ev_y,ball_to_passer,sync_frame,naive_frame,dist_before,dist_after
J03WMX,firstHalf,Home,Play_Pass,635.019,2023-05-27 15:40:47.249000+02:00,66.93,45.63,0,18,DFL-OBJ-0027AX,DFL-OBJ-002GKO,,shift only,14.430000000000007,11.630000000000003,10.376222819504214,15870,15875,12.805850225580487,11.513400887661291
J03WMX,firstHalf,Home,Play_Pass,637.319,2023-05-27 15:40:49.549000+02:00,78.55,52.65,18,7,DFL-OBJ-002GKO,DFL-OBJ-0027B6,,shift only,26.049999999999997,18.65,1.0515227054134382,15870,15932,9.818808481684528,2.9601351320505604
J03WMX,firstHalf,Home,Play_Pass,639.702,2023-05-27 15:40:51.932000+02:00,78.85,66.4,7,5,DFL-OBJ-0027B6,DFL-OBJ-0002BO,,shift only,26.349999999999994,32.400000000000006,7.0016355232188445,15922,15992,17.092469101917366,7.768616350419168
J03WMX,firstHalf,Home,Play_Pass,642.654,2023-05-27 15:40:54.884000+02:00,72.24,63.79,5,14,DFL-OBJ-0002BO,DFL-OBJ-J01BGM,,shift only,19.739999999999995,29.79,1.1859595271340428,16077,16066,12.07034796515825,11.997653937332911
J03WMX,firstHalf,Home,Play_Pass,646.118,2023-05-27 15:40:58.348000+02:00,55.91,51.25,14,18,DFL-OBJ-J01BGM,DFL-OBJ-002GKO,,shift only,3.4099999999999966,17.25,0.33421549934136663,16131,16152,5.15644257216155,2.2262299971027235
J03WMX,firstHalf,Home,Play_Pass,658.279,2023-05-27 15:41:10.509000+02:00,63.52,20.76,18,16,DFL-OBJ-002GKO,DFL-OBJ-J01D1W,,shift only,11.020000000000003,-13.239999999999998,9.849187783771816,16445,16456,13.575658363409119,12.976536517884885
J03WMX,firstHalf,Home,Play_Pass,659.5,2023-05-27 15:41:11.730000+02:00,73.54,12.34,16,2,DFL-OBJ-J01D1W,DFL-OBJ-00012X,,shift only,21.040000000000006,-21.66,0.5544366510251617,16447,16487,8.628000927213677,0.5818075283115527
J03WMX,firstHalf,Home,Play_Pass,660.682,2023-05-27 15:41:12.912000+02:00,66.13,6.92,2,16,DFL-OBJ-00012X,DFL-OBJ-J01D1W,,shift only,13.629999999999995,-27.08,0.747261667690775,16496,16517,10.964054906830778,2.921386657051755
J03WMX,firstHalf,Home,Play_Pass,663.504,2023-05-27 15:41:15.734000+02:00,81.56,12.94,16,12,DFL-OBJ-J01D1W,DFL-OBJ-002G4A,,shift only,29.060000000000002,-21.060000000000002,0.5656854249492365,16563,16587,11.188395774193905,1.6337074401495524
J03WMX,firstHalf,Home,Play_Pass,665.228,2023-05-27 15:41:17.458000+02:00,84.56,32.4,12,7,DFL-OBJ-002G4A,DFL-OBJ-0027B6,,shift only,32.06,-1.6000000000000014,0.6129437168288776,16625,16630,0.556057550978311,2.2816003155679994
J03WMX,firstHalf,Home,Play_Pass,667.686,2023-05-27 15:41:19.916000+02:00,81.56,49.45,7,12,DFL-OBJ-0027B6,DFL-OBJ-002G4A,,shift only,29.060000000000002,15.450000000000003,1.5208221460775755,16668,16692,15.09187861069655,8.628470316342291
J03WMX,firstHalf,Home,Play_Pass,669.429,2023-05-27 15:41:21.659000+02:00,83.76,30.79,12,18,DFL-OBJ-002G4A,DFL-OBJ-002GKO,,shift only,31.260000000000005,-3.210000000000001,0.5080354318352216,16723,16735,6.892561207562837,0.7286288492778779
J03WMX,firstHalf,Home,Play_Pass,670.933,2023-05-27 15:41:23.163000+02:00,68.53,20.96,18,16,DFL-OBJ-002GKO,DFL-OBJ-J01D1W,,shift only,16.03,-13.04,0.7211102550927962,16752,16773,12.124231934436093,3.608545413320994
J03WMX,firstHalf,Home,Play_Pass,672.41,2023-05-27 15:41:24.640000+02:00,82.56,11.94,16,2,DFL-OBJ-J01D1W,DFL-OBJ-00012X,,shift only,30.060000000000002,-22.060000000000002,0.6413267497929577,16803,16810,3.798275924679513,0.8160882305241262
