match_id,half,team_slot,eID,gameclock,timestamp,at_x,at_y,passer_slot,recipient_slot,pID,recipient,event_id
J03WMX,firstHalf,Home,Play_Pass,675.394,2023-05-27 15:41:27.624000+02:00,74.14,1.91,2,16,DFL-OBJ-00012X,DFL-OBJ-J01D1W,
J03WMX,firstHalf,Home,Play_Pass,677.36,2023-05-27 15:41:29.590000+02:00,86.56,13.54,16,4,DFL-OBJ-J01D1W,DFL-OBJ-0002HE,
J03WMX,firstHalf,Home,Play_Pass,681.249,2023-05-27 15:41:33.479000+02:00,92.58,39.01,4,7,DFL-OBJ-0002HE,DFL-OBJ-0027B6,
J03WMX,firstHalf,Home,Play_Pass,686.37,2023-05-27 15:41:38.600000+02:00,77.45,55.56,7,12,DFL-OBJ-0027B6,DFL-OBJ-002G4A,
J03WMX,firstHalf,Home,Play_Pass,690.811,2023-05-27 15:41:43.041000+02:00,85.16,32.6,12,7,DFL-OBJ-002G4A,DFL-OBJ-0027B6,
J03WMX,firstHalf,Home,Play_Pass,696.482,2023-05-27 15:41:48.712000+02:00,67.03,63.59,7,4,DFL-OBJ-0027B6,DFL-OBJ-0002HE,
J03WMX,firstHalf,Home,Play_Pass,701.697,2023-05-27 15:41:53.927000+02:00,87.07,36.31,4,16,DFL-OBJ-0002HE,DFL-OBJ-J01D1W,
J03WMX,firstHalf,Home,Play_Pass,703.657,2023-05-27 15:41:55.887000+02:00,84.16,19.36,16,2,DFL-OBJ-J01D1W,DFL-OBJ-00012X,
J03WMX,firstHalf,Home,Play_Pass,707.125,2023-05-27 15:41:59.355000+02:00,73.44,3.01,2,16,DFL-OBJ-00012X,DFL-OBJ-J01D1W,
J03WMX,firstHalf,Home,Play_Pass,710.652,2023-05-27 15:42:02.882000+02:00,81.46,12.44,16,12,DFL-OBJ-J01D1W,DFL-OBJ-002G4A,
J03WMX,firstHalf,Home,Play_Pass,713.381,2023-05-27 15:42:05.611000+02:00,77.45,30.49,12,18,DFL-OBJ-002G4A,DFL-OBJ-002GKO,
J03WMX,firstHalf,Home,Play_Pass,804.431,2023-05-27 15:43:36.661000+02:00,29.36,65.19,3,18,DFL-OBJ-000270,DFL-OBJ-002GKO,
J03WMX,firstHalf,Home,Play_Pass,836.45,2023-05-27 15:44:08.680000+02:00,39.48,47.04,0,16,DFL-OBJ-0027AX,DFL-OBJ-J01D1W,
J03WMX,firstHalf,Home,Play_Pass,838.874,2023-05-27 15:44:11.104000+02:00,59.01,25.27,16,0,DFL-OBJ-J01D1W,DFL-OBJ-0027AX,
