run_id,seed,lead_s,anchor,model_variant,test_match,n,model_mean,model_sd,n_seeds,nearest_teammate,ball_direction,passer_direction,ball_direction_excess,passer_direction_excess
a95b7a72bb,,0.0,emitted_sync_frame,leadsweep_summary,J03WMX,722,0.8684210526315789,0.006037256154488474,3,0.296398891966759,0.592797783933518,0.4168975069252078,0.296398891966759,0.12049861495844877
a95b7a72bb,,0.0,emitted_sync_frame,leadsweep_summary,J03WN1,455,0.7714285714285714,0.015384615384615394,3,0.3010989010989011,0.5142857142857142,0.367032967032967,0.21318681318681315,0.06593406593406592
a95b7a72bb,,0.2,emitted_sync_frame,leadsweep_summary,J03WMX,722,0.8476454293628809,0.009082324825903071,3,0.2853185595567867,0.407202216066482,0.4002770083102493,0.12188365650969529,0.11495844875346262
a95b7a72bb,,0.2,emitted_sync_frame,leadsweep_summary,J03WN1,455,0.7377289377289378,0.009910439017193197,3,0.2923076923076923,0.31648351648351647,0.35824175824175825,0.024175824175824145,0.06593406593406592
a95b7a72bb,,0.4,emitted_sync_frame,leadsweep_summary,J03WMX,722,0.69067405355494,0.012413970138272173,3,0.2742382271468144,0.3033240997229917,0.37534626038781166,0.029085872576177285,0.10110803324099726
a95b7a72bb,,0.4,emitted_sync_frame,leadsweep_summary,J03WN1,454,0.6013215859030837,0.0038150898845129753,3,0.2775330396475771,0.21585903083700442,0.32819383259911894,-0.06167400881057267,0.050660792951541855
a95b7a72bb,,0.8,emitted_sync_frame,leadsweep_summary,J03WMX,722,0.5655586334256694,0.004452285669895199,3,0.2631578947368421,0.30886426592797783,0.3296398891966759,0.04570637119113574,0.06648199445983383
a95b7a72bb,,0.8,emitted_sync_frame,leadsweep_summary,J03WN1,454,0.5227606461086637,0.005543197089038721,3,0.2621145374449339,0.23127753303964757,0.2422907488986784,-0.030837004405286333,-0.019823788546255494
a95b7a72bb,,1.2,emitted_sync_frame,leadsweep_summary,J03WMX,721,0.5080906148867314,0.010593101467766616,3,0.24687933425797504,0.2912621359223301,0.3106796116504854,0.04438280166435504,0.06380027739251037
a95b7a72bb,,1.2,emitted_sync_frame,leadsweep_summary,J03WN1,454,0.4537444933920705,0.003815089884512943,3,0.2422907488986784,0.23348017621145375,0.21806167400881057,-0.008810572687224655,-0.024229074889867835
